Fonte,Termo,Título,Link
G1,CPI das BETs,"Virgínia Fonseca faz 'publi' após CPI das Bets... gerou crítica nas redes. 
Initial plugin text
NaCPIdasBets, a influenciadora Virginia Fonseca foi questionada pelos senadores...—... Instagram pouco após deixar a Comissão Parlamentar de Inquérito (CPI) das Apostas Esportivas, na tarde desta terça-feira (13...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=1&r=1748036079261&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-fonseca-faz-publi-apos-cpi-das-bets.ghtml&syn=False&key=db0c7017493521f86792b05fbec40f1e
G1,CPI das BETs,"CPI das Bets convoca influenciador Carlinhos Maia e pede anális...ACPIdasBetsno Senado aprovou nesta quarta-feira (21) a convocação do influenciador digital Carlinhos Maia. Ele será ouvido...—... como testemunha pela comissão.
O requerimento, de autoria da relatora daCPI, Soraya Thronicke (Podemos-MS), menciona os mais de 34...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=3&r=1748036079264&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F21%2Fcpi-das-bets-convoca-influenciador-carlinhos-maia-e-pede-analise-de-financas-de-virginia-fonseca.ghtml&syn=False&key=30b4eac9f798ec806f85adfba9fbcb89
G1,CPI das BETs,"Entenda em 5 pontos por que Virgínia foi à CPI das Bets e o que...'Não fiquei milionária combets', diz Virgínia Fonseca emCPIA influenciadora digital Virgínia Fonseca prestou depoimento nesta...—... terça-feira (13) à Comissão Parlamentar de Inquérito (CPI) dasBets, no Senado. 
Convocada como testemunha, ela foi questionada...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=4&r=1748036079266&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fentenda-em-5-pontos-por-que-virginia-foi-a-cpi-das-bets-e-o-que-ela-disse.ghtml&syn=False&key=42c21259d4c94f6e159f19ba9fb69735
G1,CPI das BETs,"À CPI das Bets, influenciadora Virginia Fonseca diz não se arre...Influenciadora Virginia Fonseca chega para depor àCPIdasBetsno Senado
A influenciadora Virginia Fonseca disse nesta terça...—...-feira (13) à Comissão Parlamentar de Inquérito (CPI) dasBetsque não se arrepende dos anúncios que fez para empresas de apostas...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=5&r=1748036079268&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fa-cpi-das-bets-influenciadora-virginia-fonseca-diz-nao-se-arrepender-de-propagandas-e-nao-ter-como-socorrer-seguidores.ghtml&syn=False&key=b35c53a902420423a51b09274b498751
G1,CPI das BETs,"Depoimento de Virginia Fonseca na CPI das BetsDepoimento de Virginia Fonseca naCPIdasBetsInfluenciadora foi convidada como testemunha e justificou que sempre coloca...—... alertas sobre jogo responsável em seus anúncios. Influenciadora Virginia Fonseca prestou depoimento  àCPIdasBets, negou 'cláusula...13/05/2025 18h04",//g1.globo.com/busca/click?q=cpi+das+bets+CPI+das+BETs&p=15&r=1748036079286&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fao-vivo%2Fcpi-bets-ouve-influenciadora-virginia-fonseca.ghtml&syn=False&key=37fa133d169d6eb75ac6ad36025027de
G1,cassino online,"Virgínia Fonseca faz 'publi' após CPI das Bets... gerou crítica nas redes. 
Initial plugin text
NaCPIdasBets, a influenciadora Virginia Fonseca foi questionada pelos senadores...—... daCPIa respeito dos contratos e dos trabalhos de influenciadores para promover casas de apostas e jogos de azaronline.
Ao longo...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+cassino+online&p=1&r=1748036080328&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-fonseca-faz-publi-apos-cpi-das-bets.ghtml&syn=False&key=2ca20dd0f31183f0192b947d97e82f9a
G1,cassino online,"À CPI das Bets, influenciadora Virginia Fonseca diz não se arre...... em novembro passado, aCPIinvestiga:
a influência das apostasonlineno orçamento das famílias brasileiras;
a possível associação dasbets...—Influenciadora Virginia Fonseca chega para depor àCPIdasBetsno Senado
A influenciadora Virginia Fonseca disse nesta terça...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+cassino+online&p=5&r=1748036080335&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fa-cpi-das-bets-influenciadora-virginia-fonseca-diz-nao-se-arrepender-de-propagandas-e-nao-ter-como-socorrer-seguidores.ghtml&syn=False&key=fc216124f274fa1755d038c5db99d5e7
G1,cassino online,"Virginia na CPI das Bets: moletom com foto da filha e falas da ...A relatora daCPIdasBets, senadora Soraya Thronicke (Podemos-MS), e o presidente da Comissão, senador Dr. Hiran (PP-RR), ouvem...—... Fonseca foi o assunto mais comentado da internet na tarde desta terça-feira (13). Ela prestou depoimento naCPIdasBetse chamou...13/05/2025 19h39",//g1.globo.com/busca/click?q=cpi+das+bets+cassino+online&p=13&r=1748036080348&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-na-cpi-das-bets-moletom-com-foto-da-filha-e-falas-da-influenciadora-em-depoimento-sao-os-assuntos-mais-comentados-das-redes-sociais.ghtml&syn=False&key=83ef18eabb26aef5824faf066ea9f4cc
G1,cassino online,"Senador pede 'selfie' com Virginia Fonseca durante CPI das BetsSenador interrompeCPIdasBetspara tirar foto com Virgínia Fonseca
Durante a sessão da Comissão Parlamentar de Inquérito (CPI...—... com Virgínia Fonseca duranteCPIdasbetsReprodução/TV Senado
Convocação
Virginia Fonseca foi convocada a depor em dezembro do ano passado...13/05/2025 15h57",//g1.globo.com/busca/click?q=cpi+das+bets+cassino+online&p=14&r=1748036080350&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fsenador-pede-foto-selfie-com-virgilia-fonseca-durante-cpi-das-bets.ghtml&syn=False&key=014edb5d60e621a2b5c2728bf878728a
G1,apostas esportivas,"Virgínia Fonseca faz 'publi' após CPI das Bets... Instagram pouco após deixar a Comissão Parlamentar de Inquérito (CPI) dasApostasEsportivas, na tarde desta terça-feira (13...—... gerou crítica nas redes. 
Initial plugin text
NaCPIdasBets, a influenciadora Virginia Fonseca foi questionada pelos senadores...há 20 horas",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=1&r=1748035374124&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-fonseca-faz-publi-apos-cpi-das-bets.ghtml&syn=False&key=5c1220138badce09c7f9644988ab3a5a
G1,apostas esportivas,"À CPI das Bets, influenciadora Virginia Fonseca diz não se arre......-feira (13) à Comissão Parlamentar de Inquérito (CPI) dasBetsque não se arrepende dos anúncios que fez para empresas deapostas...—... em novembro passado, aCPIinvestiga:
a influência dasapostasonline no orçamento das famílias brasileiras;
a possível associação dasbets...há 20 horas",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=2&r=1748035374127&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fa-cpi-das-bets-influenciadora-virginia-fonseca-diz-nao-se-arrepender-de-propagandas-e-nao-ter-como-socorrer-seguidores.ghtml&syn=False&key=384c5c8262a6d0f1b905769874db9df6
G1,apostas esportivas,"Virginia na CPI das Bets: moletom com foto da filha e falas da ...... dar depoimento sobre seu envolvimento na promoção de sites deapostasesportivasonline. Segundo a convocação daCPIno Senado...—A relatora daCPIdasBets, senadora Soraya Thronicke (Podemos-MS), e o presidente da Comissão, senador Dr. Hiran (PP-RR), ouvem...13/05/2025 19h39",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=3&r=1748035374130&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-na-cpi-das-bets-moletom-com-foto-da-filha-e-falas-da-influenciadora-em-depoimento-sao-os-assuntos-mais-comentados-das-redes-sociais.ghtml&syn=False&key=40f3a43ca19c4591ead7f5693177262f
G1,apostas esportivas,"Senador pede 'selfie' com Virginia Fonseca durante CPI das BetsSenador interrompeCPIdasBetspara tirar foto com Virgínia Fonseca
Durante a sessão da Comissão Parlamentar de Inquérito (CPI...—...) dasApostasEsportivasna manhã desta terça-feira (13), o senador Cleitinho Azevedo (Republicanos-MG) pediu para tirar uma foto...13/05/2025 15h57",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=7&r=1748035374141&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fsenador-pede-foto-selfie-com-virgilia-fonseca-durante-cpi-das-bets.ghtml&syn=False&key=743ef5d1305899f7afec1fa3eef23a46
G1,apostas esportivas,"Virginia vai à CPI das Bets do Senado nesta terça-feira, confir...... não comparecer àCPIda Manipulação de Jogos eApostasEsportivasem 2024. 
VEJA TAMBÉM: Suíte maior que apartamento: confira...—... (CPI) dasBets, marcada para esta terça-feira (13), confirmou a assessoria. Ela foi convocada para dar depoimento...13/05/2025 13h57",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=8&r=1748035374143&u=https%3A%2F%2Fg1.globo.com%2Fgo%2Fgoias%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-vai-a-cpi-das-bets-do-senado-nesta-terca-feira-confirma-assessoria.ghtml&syn=False&key=6064ece6a93204805851cffd008b6511
G1,apostas esportivas,"Entenda em 5 pontos por que Virgínia foi à CPI das Bets e o que...... a influenciadora.
'Não fiquei milionária combets', diz Virgínia Fonseca emCPI3. Alertas sobre os riscos dasapostas...—...?
Após o depoimento, aCPIdasBetscontinuará ouvindo outros influenciadores e representantes de casas deapostas. A investigação busca...há 20 horas",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=10&r=1748035374147&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fentenda-em-5-pontos-por-que-virginia-foi-a-cpi-das-bets-e-o-que-ela-disse.ghtml&syn=False&key=5125f58123ad12fa47be628f6b05f558
G1,apostas esportivas,"Virginia Fonseca nega à CPI das Bets 'cláusula da desgraça' em ...... Virginia Fonseca disse àCPIdasBetsque não se arrepende dos anúncios que fez para empresas deapostase que não tem como ajudar...—Influenciadora Virginia Fonseca chega para depor àCPIdasBetsno Senado
A influenciadora Virginia Fonseca prestou depoimento...13/05/2025 20h07",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=11&r=1748035374149&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Finfluenciadora-virginia-fonseca-depoe-a-cpi-das-bets-com-aval-para-ficar-em-silencio.ghtml&syn=False&key=4401f8260d14647c341b6bc34d348730
G1,apostas esportivas,"CPI das Bets convoca influenciador Carlinhos Maia e pede anális...ACPIdasBetsno Senado aprovou nesta quarta-feira (21) a convocação do influenciador digital Carlinhos Maia. Ele será ouvido...—... como testemunha pela comissão.
O requerimento, de autoria da relatora daCPI, Soraya Thronicke (Podemos-MS), menciona os mais de 34...há 20 horas",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=12&r=1748035374152&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F21%2Fcpi-das-bets-convoca-influenciador-carlinhos-maia-e-pede-analise-de-financas-de-virginia-fonseca.ghtml&syn=False&key=b1be9907e305d51411ce9753585d397e
G1,apostas esportivas,"CPI das Bets marca depoimento da influenciadora Virginia Fonsec...... sobre seu envolvimento na promoção de sites deapostasesportivas. A presença da influenciadora naCPIé aguardada com expectativa...—... são menores de idade ou pessoas vulneráveis a problemas com jogos.
Relatoraapontafalso testemunho, eCPIdasBetsdo Senado...07/05/2025 22h31",//g1.globo.com/busca/click?q=cpi+das+bets+apostas+esportivas&p=13&r=1748035374155&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F07%2Fcpi-das-bets-marca-depoimento-da-influenciadora-virginia-fonseca-para-a-proxima-semana.ghtml&syn=False&key=88e7661f33257288f06931056ba65787
G1,jogos de azar,"Virgínia Fonseca faz 'publi' após CPI das Bets... daCPIa respeito dos contratos e dos trabalhos de influenciadores para promover casas de apostas ejogosdeazaronline.
Ao longo...—... gerou crítica nas redes. 
Initial plugin text
NaCPIdasBets, a influenciadora Virginia Fonseca foi questionada pelos senadores...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+jogos+de+azar&p=1&r=1748036082465&u=https%3A%2F%2Fg1.globo.com%2Fpop-arte%2Fnoticia%2F2025%2F05%2F13%2Fvirginia-fonseca-faz-publi-apos-cpi-das-bets.ghtml&syn=False&key=04c4c547702cdecf922073601a195d8a
G1,jogos de azar,"CPI das Bets convoca influenciador Carlinhos Maia e pede anális...... digitais, como Virgínia Fonseca, na promoção dejogosdeazar,bemcomo avaliar a necessidade de uma regulamentação mais rigorosa...—ACPIdasBetsno Senado aprovou nesta quarta-feira (21) a convocação do influenciador digital Carlinhos Maia. Ele será ouvido...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+jogos+de+azar&p=4&r=1748036082471&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F21%2Fcpi-das-bets-convoca-influenciador-carlinhos-maia-e-pede-analise-de-financas-de-virginia-fonseca.ghtml&syn=False&key=0a083aeba46c5b6bdd38fcb3e21a4de6
G1,jogos de azar,"À CPI das Bets, influenciadora Virginia Fonseca diz não se arre...... para uma organização estrangeira que opera ilegalmentejogosdeazarno Brasil.
ACPIdasBetsconsidera como essenciais...—.... Eu não tenho… Então, aí, tá complicado"", disse Virgínia.
🔍 ACPIinvestiga a promoção dejogosdeazaronline feita...há 21 horas",//g1.globo.com/busca/click?q=cpi+das+bets+jogos+de+azar&p=5&r=1748036082473&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fa-cpi-das-bets-influenciadora-virginia-fonseca-diz-nao-se-arrepender-de-propagandas-e-nao-ter-como-socorrer-seguidores.ghtml&syn=False&key=c72b7a3d9413b0acc386f219128c7fd4
G1,jogos de azar,"CPI das Bets marca depoimento da influenciadora Virginia Fonsec...... popular.
O que está emjogo?
ACPIdasBetsbusca esclarecer como influenciadores digitais estariam incentivando o público...—... são menores de idade ou pessoas vulneráveis a problemas comjogos.
Relatora aponta falso testemunho, eCPIdasBetsdo Senado...07/05/2025 22h31",//g1.globo.com/busca/click?q=cpi+das+bets+jogos+de+azar&p=6&r=1748036082475&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F07%2Fcpi-das-bets-marca-depoimento-da-influenciadora-virginia-fonseca-para-a-proxima-semana.ghtml&syn=False&key=1de131d2ce1673a9cd0179bf02d9c4a1
G1,jogos de azar,"Rico Melquiades mostra a senadores da CPI das Bets como apostar...... daCPIdasBetsnesta quarta-feira (14) como faz para apostar noJogodo Tigrinho. 
Ele foi convocado pela Comissão Parlamentar...—... daCPIa apostar. 
Influenciador Rico Melquíades mostra 'Jogodo Tigrinho' a senadores naCPIdasBetsKevin Lima/g1...14/05/2025 16h59",//g1.globo.com/busca/click?q=cpi+das+bets+jogos+de+azar&p=7&r=1748036082477&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F14%2Fem-cpi-influenciador-mostra-a-senadores-como-jogar-no-tigrinho.ghtml&syn=False&key=155ca90a2afab4aec0796ff9c93f25ea
G1,jogos de azar,Virginia Fonseca: por que CPI das Bets deve ouvir influenciador...... questionada pelos senadores a respeito de propagandas debetsejogosdeazarveiculadas por ela nas redes sociais. A influenciadora...—A Comissão Parlamentar de Inquérito (CPI) dasBetsmarcou para esta terça-feira (13) o depoimento da influenciadora digital...13/05/2025 13h05,//g1.globo.com/busca/click?q=cpi+das+bets+jogos+de+azar&p=14&r=1748036082491&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fcpi-das-bets-deve-ouvir-influenciadora-virginia-fonseca-nesta-terca-feira.ghtml&syn=False&key=e712e25bd50584a7fd6919a0881f73e0
G1,jogos de azar,"Senador pede 'selfie' com Virginia Fonseca durante CPI das BetsSenador interrompeCPIdasBetspara tirar foto com Virgínia Fonseca
Durante a sessão da Comissão Parlamentar de Inquérito (CPI...—... ejogosdeazaronline. Ela estava acompanhada do marido, o cantor Zé Felipe, filho do sertanejo Leonardo.
""Eu sou influencer, virei...13/05/2025 15h57",//g1.globo.com/busca/click?q=cpi+das+bets+jogos+de+azar&p=15&r=1748036082493&u=https%3A%2F%2Fg1.globo.com%2Fpolitica%2Fnoticia%2F2025%2F05%2F13%2Fsenador-pede-foto-selfie-com-virgilia-fonseca-durante-cpi-das-bets.ghtml&syn=False&key=e8f6a9d91863625068f1d9a35be72ddd
